,,,,,HACKING PRICE LIST,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Service_ID,OLD ID,Service_Status,Service_Category,Sub_Category,Property_Type,Property_Status,Property_Room,Area,Name,Includes,Quantity,Unit,Price,Wastage,Competitor Price (1.4X),Description of work,Addon_ID,
,010054,new,Hacking,,Landed,"new , resale",All,All,Supply Labour To Hack Full-Height Wall (Landed),,1,Ft,50,,100,Includes demolition of all concrete walls up to 3m in height. Cost to make good hacked wall is separate. ,,
,010057,new,Hacking,,Landed,"new , resale",All,All,Supply Labour To Hack Half-Height Wall (Landed),,1,Ft,50,,100,Includes demolition of concrete walls up to 1.5m in height. Cost to make good hacked wall is separate. ,,
,010060,new,Hacking,,Landed,"new , resale",All,All,Supply Labour To Hack A Door Entrance (Landed),,1,Package,150,,250,To demolish a standard door entrance (D900mm x H2100mm).,,
,010089,new,Hacking,,Landed,"new , resale",All,All,Supply Labour To Dismantle Door & Door Frame (Landed),,1,Package,50,,100,To dismantle all doors & door frames in the house. ,,
,010099,new,Hacking,,"
Landed","new , resale",All,Foyer / Living / Dining ,Supply Labour To Hack Floor Tiles,,1,sqft,2.8,,4,Includes haulage of tiles & clearing of debris for affected areas only. ,,
,010090,new,Hacking,,Landed,"new , resale",All,Kitchen & Toilet,Supply Labour To Hack Floor & Wall Tiles In Kitchen & 2x Toilets (Landed),,1,Package,2500,,3800,"To hack all floor & wall tiles for 1 kitchen & 2 Toilets. Includes haulage, clearing of debris, dismantling of kitchen cabinets.",,
,010092,new,Hacking,,Landed,"new , resale",All,Kitchen & Toilet,Supply Labour To Hack Floor Tiles In Kitchen & 2x Toilets (Landed),,1,Package,2100,,3200,"To hack all floor tiles for 1 kitchen & 2 Toilets. Includes the haulage, clearing of debris, and dismantling of Toilet accessories for these affected areas only. ",,
,010095,new,Hacking,,Landed,"new , resale",All,Kitchen,Supply Labour To Hack Floor Tiles In Kitchen (Landed)  (Quote Upon Site Visit) ,,1,Package,0,,0,"To hack existing floor tiles for kitchen area. Includes haulage of tiles, clearing of debris & dismantling of kitchen cabinetry.",,
,010079,new,Hacking,,Landed,"new , resale",All,Kitchen,Supply Labour To Hack Wall Tiles In Kitchen (Landed) (Quote Upon Site Visit) ,,1,Package,0,,0,"To hack all wall tiles in kitchen area. Includes the haulage of tiles, clearing of debris and dismantling of kitchen cabinets. ",,
,010096,new,Hacking,,Landed,"new , resale",All,Toilet,Supply Labour To Hack Floor Tiles & Wall Tiles In 1x Toilet (Landed),,1,Package,900,,1200,"To hack all floor & wall tiles of 1 Toilet. Includes the haulage, clearing of debris, dismantling of existing Toilet accessories for this area only. ",,
,010066,new,Hacking,,Landed,"new , resale",All,Toilet,Supply Labour To Hack Floor Tiles In 1x Toilet (Landed)  (Quote Upon Site Visit) ,,1,Package,0,,0,"To hack all floor tiles of 1 Toilet. Includes the haulage, clearing of debris, dismantling of existing Toilet accessories for this area only. ",,
,010080,new,Hacking,,Landed,"new , resale",All,Toilet,Supply Labour To Hack Wall Tiles In Toilet (Landed) (Quote Upon Site Visit) ,,1,Package,0,,0,To hack all wall tiles at 1 Toilet area. Includes the haulage of tiles & clearing of debris for this area only. ,,
,010065,new,Hacking,,Landed,"new , resale",All,"Bedroom, Study Room",Supply Labour To Hack Floor Tiles In 1x Room (Landed)  (Quote Upon Site Visit) ,,1,Package,0,,0,To hack all flooring in 1 room. Includes haulage of tiles & clearing of debris for 1 room only. ,,
,010081,new,Hacking,,Landed,"new , resale",All,Balcony,Supply Labour To Hack Wall Tiles In Balcony (Landed) (Quote Upon Site Visit) ,,1,Package,0,,0,To hack all wall tiles at yard area. Includes the haulage of tiles & clearing of debris for this area only. ,,
,010067,new,Hacking,,Landed,"new , resale",All,Balcony,Supply Labour To Hack Floor Tiles In Balcony (Landed)  (Quote Upon Site Visit) ,,1,Package,0,,0,To hack all floor tiles at balcony area. Includes the haulage of tiles & clearing of debris for this area only. ,,
,010087,new,Hacking,,Landed,"new , resale",All,All,Supply Labour To Dismantle Doors,,1,Package,30,,dismantle,To dismantle 1 door in the house., 500001,
,010098,new,Hacking,,Landed,"new , resale",All,All,Supply Labour To Hack Service Yard Floor Tiles ,,1,Package,300,,500,To hack all floor tiles at service yard area. Includes the haulage of tiles & clearing of debris for this area only. , 500001,
,010113,new,Hacking,,Landed,"new , resale",All,"Bedroom, Study Room",Supply Labour To Hack Parquet Flooring In 1x Room (Landed),,1,Package,600,,600,To hack all wall tiles at balcony area. Includes the haulage of tiles & clearing of debris for this area only. ,,
,010114,new,Hacking,,Landed,"new , resale",All,Foyer / Living / Dining ,Supply Labour To Hack Parquet Flooring At Living Area (Landed),,1,Package,1200,,600,To hack all wall tiles at balcony area. Includes the haulage of tiles & clearing of debris for this area only. ,,
,010115,new,Hacking,,Landed,"new , resale",All,"Bedroom, Study Room",Supply Labour To Hack Vinyl Flooring In 1x Room (Landed),,1,Package,500,,600,To hack all wall tiles at balcony area. Includes the haulage of tiles & clearing of debris for this area only. ,,
